MovieID,Title,Genres,Actors,Keywords
11,"American President, The (1995)",Comedy|Drama|Romance,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith, Samantha Mathis, Shawna Waldron, David Paymer, Anne Haney, Richard Dreyfuss, Nina Siemaszko, Wendie Malick, Beau Billingslea, Gail Strickland, Joshua Malina, Clement von Franckenstein, Efrat Lavie, John Mahoney, Taylor Nichols, John Mahon, Tom Dahlgren, Ralph Meyering Jr., Kurt A. Boesen, Joseph Latimore, Darryl Alan Reed, Andrew Steel, Jordan Lund, Richard McGonagle, Frank Cavestani, Richard Stahl, Alice Kushida, Renee Faia, Beans Morocco, Kathryn Ish, Kamilah Martin, Augie Blunt, Thom Barry, Steven Gonzalez, Gabriel Jarret, Karen Maruyama, Nancy Kandal, George Murdock, Bernie McInerney, Jack Gilroy, Matthew Saks, Googy Gress, Ron Canada, Brian Pietro, Rick Garcia, Aaron Sorkin, Kymberly Newberry, Greg Poland, Leslie Bega, Jennifer Crystal Foley, Arthur Senzy, Nick Toth, Jorge Noa, Maud Winchester, Jeffrey Anderson, Suzanne Michaels, Mark Thompson, David Drew Gallagher, Todd Odom, Michael G. Alexander, Anthony Backman, Rose Barrett, Faith Burton, Jan Citron, Arthur Eckdahl, Roger Ferreira, Star Halm, Betty Hankins, Suzanne Lodge, Gorja Max, Mark Norris, Sherry O’Keefe, Roger Steffens, Helen Thomas, Ray Uhler, Michael Wajacs, Mark Watson, Janet Dey","new love, usa president, the white house, class differences, widower, wildlife conservation, lobbyist, romantic"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony, Harvey Korman, Steven Weber, Mark Blankfield, Megan Cavanagh, Gregg Binkley, Anne Bancroft, Clive Revill, Chuck McCann, Avery Schreiber, Cherie Franklin, Ezio Greggio, Leslie Sachs, Rudy De Luca, Darla Haun, Karen Roe, Charlie Callas, Maud Winchester, Kathleen Kane, Tony Griffin, Cindy Marshall-Day","vampire, satire, spoof, dracula"
13,Balto (1995),Animation|Children's,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Juliette Brewer, Jack Angel, Danny Mann, Robbie Rist, Sandra Dickinson, Frank Welker, Miriam Margolyes, Lola Bates-Campbell, Donald Sinden, Garrick Hagon, William Roberts","wolf, pet, cartoon, dog-sledding race, alaska, dog, goose, bear attack, dog sled, cartoon wolf, pets, cartoon animal"
14,Nixon (1995),Drama,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins, E.G. Marshall, David Paymer, David Hyde Pierce, Paul Sorvino, Mary Steenburgen, J. T. Walsh, James Woods, Brian Bedford, Kevin Dunn, Fyvush Finkel, Annabeth Gish, Tom Bower, Tony Goldwyn, Larry Hagman, Edward Herrmann, Madeline Kahn, Dan Hedaya, Tony Lo Bianco, Saul Rubinek, Robert Beltran, John Cunningham, John Diehl, John C. McGinley, Michael Chiklis, David Barry Gray, Joanna Going, George Plimpton, Lenny Vullo, Corey Carrier, Ronald von Klaussen, John Bedford Lloyd, Kamar de los Reyes, Enrique Castillo, James Pickens Jr., Victor Rivers, Bridgette Wilson-Sampras, Drew Snyder, Ric Young, Sean Stone, Joshua Duvall Preston, Ian Calip, Jack Wallace, Julie Condra, Annette Helde, Howard Platt, T.J. Kennedy, Harry S. Murphy, Suzanne Schnulle Murphy, Michael Kaufman, Pamela Dickerson, O'Neal Compton, Chris Renna, Wilson Cruz, Mikey Stone, Robert Marshall, Marley Shelton, James Karen, Richard Fancy, Peter Carlin, Michelle Krusiec, Wass Stevens, Tom Nicoletti, Chuck Pfeiffer, Alexander Butterfield, Mark Steines, Bai Ling, Peter P. Starson Jr., Jon Tenney, Julie Araskog, Ray Wills, John Bellucci, Zoey Zimmerman, Mary Rudolph, Clayton Townsend, Donna Dixon, John Stockwell, Charles Haugk, Boris Sichkin, Fima Noveck, Raissa Danilova, Marilyn Rockafellow, Bill Bolender, Melinda Renna, Tony Plana, Sam Waterston, Chuck Riley, Mao Zedong","usa president, washington dc, usa, government, presidential election, 1970s, watergate scandal, biography, historical figure, richard nixon, 1960s, ambiguous, disapproving, disdainful, disheartening, earnest, empathetic, frustrated"
15,Cutthroat Island (1995),Action|Adventure|Romance,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide, Stan Shaw, Rex Linn, Paul Dillon, Christopher Masterson, Jimmie F. Skaggs, Harris Yulin, Carl Chase, Peter Geeves, Angus Wright, Ken Bones, Mary Pegler, Mary Peach, Lucinda Aurel, Thomas Lockyer, Roger Booth, George Murcell, Simon Atherton, Dickey Beer, Christopher Halliday, Chris Johnston, Richard Leaf, Tam White, Rupert Vansittart, Nick Bartlett, David Bailie, Kwame Kwei-Armah, Ramon Tikaram, Christopher Adamson, Finster, Thor","ship, treasure, exotic island, island, map, scalp, treasure map, sword fight, betrayal, pirate, heroine, swashbuckler, adventurer, pirate ship, 17th century"
16,Casino (1995),Drama|Thriller,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, L.Q. Jones, Dick Smothers, Frank Vincent, John Bloom, Pasquale Cajano, Melissa Prophet, Bill Allison, Vinny Vella, Oscar Goodman, Catherine Scorsese, Philip Suriano, Erika von Tagen, Frankie Avalon, Steve Allen, Jayne Meadows, Jerry Vale, Joseph Rigano, Gene Ruffini, Dominick Grieco, Peter Conti, Cathy Scorsese, Steve Vignari, Paul Herman, Joey DePinto, Millicent Sheridan, Nobu Matsuhisa, Frankie J. Allison, Anthony Russell, John Manca, Ronald Maccone, Joseph P. Reidy, Joe La Due, Stuart Nisbet, Frank Adonis, Joseph Bono, Craig Vincent, Daniel P. Conte, David Rose, C.C. Carr, Clem Caserta, Jed Mills, Richard Riehle, Alfred Nittoli, Carl Ciarfalio, Jack Orend, Ffolliott Le Coque, Claudia Haro, Madeline Parquette, Nick Mazzola, Steve Schirripa","drug abuse, casino, based on novel or book, poker, italian american, gambling, 1970s, fbi, pimp, greed, cocaine, overdose, marriage, car bomb, rise and fall, money, murder, organized crime, mafia, jewish american, las vegas, desert, cynical, safe deposit box, aggressive, 1980s, dreary, dramatic, suspenseful, audacious, brutal violence, fbi surveillance"
17,Sense and Sensibility (1995),Drama|Romance,"Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant, Gemma Jones, Greg Wise, Elizabeth Spriggs, Imogen Stubbs, Harriet Walter, James Fleet, Imelda Staunton, Hugh Laurie, Emilie François, Robert Hardy, Richard Lumsden, Tom Wilkinson, Ian Brimble, Isabelle Amyes, Alexander John, Allan Mitchell, Josephine Gradwell, Lone Madsen, Oliver Ford Davies, Eleanor McCready, Lindsay Doran","secret love, london, england, countryside, based on novel or book, widow, military officer, servant, country life, pneumonia, inheritance, period drama, rainstorm, decorum, horse carriage, young love, dowry, social class, 19th century, penniless, social elite, bloodletting, free spirited, sussex, 1800s, sisters love, marry for money, secret engagement, devonshire, england"
18,Four Rooms (1995),Thriller,"Tim Roth, Jennifer Beals, Antonio Banderas, Valeria Golino, David Proval, Sammi Davis, Amanda de Cadenet, Madonna, Ione Skye, Lili Taylor, Alicia Witt, Tamlyn Tomita, Lana McKissack, Danny Verduzco, Patricia Vonne, Salma Hayek Pinault, Quentin Tarantino, Paul Calderon, Marisa Tomei, Kathy Griffin, Lawrence Bender, Kimberly Blair, Quinn Hellerman, Marc Lawrence, Paul Skemp, Unruly Julie McClean, Laura Rush, Bruce Willis","hotel, new year's eve, witch, bet, sperm, hotel room, anthology, los angeles, california, hoodlum, multiple storylines, woman director"
19,Ace Ventura: When Nature Calls (1995),Comedy,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo, Tommy Davidson, Adewale Akinnuoye-Agbaje, Danny Daniels, Sam Phillips, Damon Standifer, Andrew Steel, Bruce Spence, Tom Grunke, Arsenio, Kristin Norton, Michael Reid MacKay, Kayla Allen, Ken Kirzinger, Dev Kennedy, Patti Tippo, Sabrinah Christie, Warren Sroka, Gene Williams, Leif Tilden, G.W. Bailey, Joseph Granda, Joe Greene, Patrick Michael Strange","kidnapping, africa, indigenous, human animal relationship, bat, stupidity, slapstick comedy, animals, pets"
20,Money Train (1995),Action,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper, Katie Gill, Joe Grifasi, Scott Sowers, Skipp Sudduth, Aida Turturro, Vincent Pastore, Enrico Colantoni, Bill Nunn, Jeremy Roberts, Joe Bacino, Gregory McKinney, José Zúñiga, Flex Alexander, Sharon Schaffer, Catherine Dudley-Rose, Dean Norris, Greg Bronson","new york city, sibling relationship, subway, new york subway, train robbery"
21,Get Shorty (1995),Action|Comedy|Drama,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini, Jon Gries, Renee Props, David Paymer, Martin Ferrero, Miguel Sandoval, Jacob Vargas, Linda Hart, Bette Midler, Bobby Slayton, Ron Karabatsos, Alison Waddell, Amber Waddell, John Cothran, Jack Conley, Bernard Hocke, Big Daddy Wayne, Jay Montalvo, Carlease Burke, Vito Scotti, Rino Piccolo, Alfred Dennis, Ralph Manza, Zed Frizzelle, Harry Victor, Patrick Breen, Barry Sonnenfeld, Donna W. Scott, Rebeca Arthur, Zack Phifer, Greg Goossen, Jeffrey Stephan, Ernest 'Chili' Palmer, Leslie Bega, Harvey Keitel, Penny Marshall, Alex Rocco","based on novel or book, miami, florida, gambling, gangster, money, murder, travel, mobster, mafia, business, debt, hollywood, drugs, producer, con"
22,Copycat (1995),Crime|Drama|Thriller,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr., J.E. Freeman, Will Patton, John Rothman, Shannon O'Hurley, Bob Greene, Tony Haney, Danny Kovacs, Tahmus Rounds, Scott Devenney, David Michael Silverman, Diane Amos, Kelly De Martino, Richard Conti, Nick Scoggin, Bert Kinyon, Dennis Richmond, Rob Nilsson, Kenny Kwong, Charles Branklyn, Rebecca Klingler, Terry Brown, Corie Henninger, Bill Bonham, Kathleen Stefano, Chris Beale, Hansford Prince, Don West, Jay Jacobus, John Charles Morris, Keith Phillips, Johnetta Shearer, Ron Kaell, Kelvin Han Yee, James Cunningham, Victor Talmadge, Brian Keith Russell, Damon Lawner, Russ Christoff, Doug Morrisson, Edith Bryson, Jeni Chua, William Oates, Lee Kopp, Thomas J. Fieweger, Floyd Gale Holland, Anthony Moore, Stephanie Smith, S. J. Spinali, Katherine Fitzhugh, Robert Benscoter, Arlon G. Greene, Stuart W. Yee, Vincenetta Gunn, David D. Ferguson, Eleva Singleton, Gena Bingham, Jon Briddell","police brutality, psychology, police operation, police protection, psychologist, serial killer, cowardliness"
23,Assassins (1995),Thriller,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson, Steve Kahan, Kelly Rowan, Reed Diamond, Kai Wulff, Kerry Skalsky, James Douglas Haskins, Stephen Liska, John Harms, Edward J. Rosen, Christina Orchid, Bruce R. Orchid, Sue Carolyn Wise, James Oliver, Ron Ben Jarrett, Marian Collier, Dave Young, Ragna Sigrun, Mark Woodford, Anibal O. Lleras, Marta Labatut, Choco Orta, Ivonne Piazza, Ángel Vázquez, Axel Anderson, David Dollase, Jim Graham, Wally Dalton, Paul Tuerpe, John Procaccino, Nerissa E. Williams, Juan Manuel Lebrón, Eddie Bellaflores, Thomas Helgeland, James W. Gavin, Scott Stuber, Richard Blum, Michael DeCourcey, Whitey Shapiro, Stefan Enriquez, Fulvio Cecere, Shirley Oliver, Eric Sather, Wally Gudgell, J. Mills Goodloe, Peter Sebastian Lackaff, John Lamar, Ernie Hall, Calli Medved, Robert Sanders, Rhonda J. Osborne, Christina Herrera, Cary Sanchez, Frank R. Jimenez Jr., Jeff King, David ""Shark"" Fralick, Bob Minor","rescue, central intelligence agency (cia), hitman, cat, bank, mexican standoff, seattle, washington, mission of murder, hidden camera, rivalry, shootout, police chase, sniper rifle, detroit, michigan, silencer, double cross, caribbean sea"
24,Powder (1995),Drama|Sci-Fi,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith, Bradford Tatum, Susan Tyrrell, Missy Crider, Ray Wise, Esteban Powell, Danette McMahon, Paula Engel, Bonnie Gallup, Dee Macaluso, Tom Tarantini, Brady Coleman, Alex Morris, Woody Watson, Darla Rae","teenage boy, held at gunpoint, teacher student relationship, albino, fainting, christ allegory, psionic power, healing power, flickering light, extrasensory perception, pale"
25,Leaving Las Vegas (1995),Drama|Romance,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber, Kim Adams, Emily Procter, Stuart Regen, Valeria Golino, Graham Beckel, Albert Henderson, Shashi Bhatia, Carey Lowell, Anne Lange, Thomas Kopache, Vincent Ward, Lucinda Jenney, French Stewart, Ed Lauter, Waldemar Kalinowski, Mike Figgis, David Kriegel, Bill Thompson, Marek Stabrowski, R. Lee Ermey, Mariska Hargitay, Danny Huston, Laurie Metcalf, David Brisbin, Shawnee Smith, Paul Quinn, Julian Lennon, Tracy Thorne, Bob Rafelson, Susan Barnes, Marc Coppola, Michael A. Goorjian, Jeremy Jordan, Davidlee Willson, Xander Berkeley, Sergio Premoli, Gordon Michaels, Lou Rawls","hotel room, dying and death, individual, prostitute, lovesickness, rage and hate, casino, unsociability, alcohol, love at first sight, movie business, screenwriter, alcoholism, los angeles, california, las vegas, alcohol abuse, dramatic, depressing, tragic"
26,Othello (1995),Drama,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney, Anna Patrick, Nicholas Farrell, Indra Ové, Michael Sheen, John Savident","jealousy, based on play or musical, friends, shakespeare's othello, the moors (people), shakespeare"
27,Now and Then (1995),Drama,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore, Rita Wilson, Devon Sawa, Walter Sparrow, Cloris Leachman, Lolita Davidovich, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Rumer Willis, Bradley Coryell, Justin Humphrey, Travis Robertson, James Wilson Keane, Ric Reitz, Kellen Crosby, Joey Stinson, James Paul Cleckler, Tucker Stone, Jamison B. Dowd, Beverly Shelton, Geoff McKnight, T.S. Morgan, Carl Espy, Brendan Fraser, Alice Tew, Rand Courtney, Brandon Kleyla, Haviland Stillwell, Dave Thompson","1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director"
28,Persuasion (1995),Romance,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Fiona Shaw, John Woodvine, Phoebe Nicholls, Samuel West, Sophie Thompson, Judy Cornwell, Simon Russell Beale, Felicity Dean, Roger Hammond, Victoria Hamilton, Emma Roberts, Robert Glenister, Richard McCabe, Helen Schlesinger, Jane Wood, David Collings, Darlene Johnson, Cinnamon Faye, Isaac Maxwell-Hunt, Roger Llewellyn, Sally George, Lonnie James, Corin Redgrave","captain, based on novel or book, napoleonic wars, old flame, admiral"
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus, Geneviève Brunet, Odile Mallet, Mireille Mossé, Serge Merlin, Rufus, Ticky Holgado, Cris Huerta, Jean-Louis Trintignant, Joseph Lucien, Mapi Galán, Briac Barthélémy, Pierre-Quentin Faesch, Alexis Pivot, François Hadji-Lazaro, Dominique Bettenfeld, Lotfi Yahya Jedidi, Thierry Gibault, Marc Caro, Ham Chau Luong, Frankie Pain, Enrique Villanueva, Dominique Chevalier, Lorella Cravotta, Éric Houzelot, Philippe Beautier, Marc Amyot, Jean-Philippe Labadie, Raphaèle Bouchard, Elisabeth Etienne, Rachel Boulenger, Michel Motu, Nane Germon, Léo Rubion, Guillaume Billod-Morel, Bezak, Hong Mai Thomas, René Pivot, Daniel Adric, Christophe Salengro, René Marquant, Michel Smolianoff, Lili Cognard, Angélique Philibert, Marie Piémontèse, Antoinette Dias, Zak Russomanno, Djamila Bouda, Lauren Geoffroy, Cyril Aubin, Bruno Journée, Jérémie Freund, Joris Geneste, Julie Bernard, Valentin Simonet, Eglantine Blanckaert, Gaëtan Bouyala, Mickael Bussinger, Jonathan Gatinois, Joshka Kaufmann, Morgan Mariac, Caroline Marsily, Geoffroy Morange, Sébastien Thaissart, Charlotte Bienfait, Camille Dufeu, Robinson Fouille, Alysia Hoffeurt, Sandy Kontargyris, Andrew Laupen, Théo Madueno, Arthur Mazet, Fackry M'Saidie, Gabriel Pierre, Bérangère Pivot, Charlotte Ribaud-Chevrey, Laura Robert, Caroline Rochand, Carolane Yvan, Margot Tostivint, Buster Verbraeken, Mathieu Kassovitz","rescue, friendship, island, dreams, clone, dystopia, eye, aging, steampunk, childhood, child kidnapping, flea"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,,
